County,Population,Unemployment Rate,Poverty Rate,Household Income
1,28229,13.4,13.99270254,35560
2,105196,9.2,9.107760751,44103
3,53189,7.8,7.249619282,48003
4,99777,8.9,10.54651874,40544
5,64974,10.9,21.65481577,33872
6,45873,5,4.604015434,54274
7,69560,8.5,7.937032777,43833
8,44247,9.9,8.210726151,45568
9,372538,7.2,7.88885966,57540
10,28361,7.1,7.570254928,47075
11,39393,9.1,6.551925469,50974
12,136827,10,9.73345904,43625
13,200285,5.5,5.905085254,60805
14,41892,9.2,8.727203285,46787
15,105987,9,8.167039354,44497
16,36724,7.8,8.887920706,41701
17,42725,8.1,8.220011703,40795
18,1263189,10.6,10.10490117,44190
19,52356,7.6,7.042172817,44632
20,38669,8.4,6.920272053,50663
21,185433,3.2,2.468276952,91955
22,76141,7.7,6.770333986,48011
23,149112,6.9,5.644079618,60567
24,28769,8.6,9.78831381,40503
25,1215761,7,9.928842922,52341
26,42485,6.7,5.418382959,55120
27,30565,7.5,11.16636676,37319
28,93874,4.1,3.389649956,72430
29,164192,7.6,7.465649971,60113
30,39626,11.7,9.935395952,40930
31,804194,8.8,9.901963954,49013
32,75428,6.9,7.937370738,50895
33,31736,9.6,9.585328964,42703
34,15633,5.6,8.373312864,43173
35,28015,6.7,5.98250937,53835
36,43170,11.5,10.72504054,39858
37,28914,9.5,8.981808121,42170
38,43436,4.2,4.83239709,51996
39,58937,7.2,6.915859307,48745
40,32854,11.5,12.38814147,39460
41,68053,8.8,9.905514819,41942
42,61004,6.6,7.379843945,48533
43,229437,6,4.895897349,58029
44,61827,8,10.10076504,42874
45,168693,7.2,6.55569585,56549
46,45484,7.6,7.738985138,49783
47,303152,8.8,7.263353037,52457
48,436261,11.1,11.86789559,41777
49,43456,5.9,4.114506627,57406
50,234550,9.5,9.405244084,41375
51,65943,9.6,9.392960587,42966
52,174831,5,4.031321676,66952
53,23473,12.1,13.42393388,37813
54,40863,5.5,4.617869466,53099
55,103517,7.6,6.563173199,51569
56,14547,7.4,9.823331271,41528
57,533763,9.4,9.899149997,43829
58,14913,9.3,11.68778918,37067
59,34996,7,6.11498457,51993
60,86016,8.3,9.909784226,41130
61,14508,7,5.204025365,41708
62,41162,5.5,5.871920704,53914
63,19165,6.6,7.038872945,45550
64,36025,9.5,10.92019431,42017
65,56515,6.9,6.115190657,57439
66,28396,13.4,13.04761234,40283
67,161897,8.7,9.426981352,52552
68,41682,7.3,7.317307231,47818
69,34184,3.4,3.112567283,60524
70,122312,8.7,8.602590097,41877
71,77334,11.3,9.872759718,43345
72,60187,7.6,7.36039344,47209
73,78017,9.6,14.38148096,35903
74,55929,8.1,8.503638542,45444
75,49067,6.7,5.249964334,54550
76,374979,8.5,7.959112377,47137
77,541847,8.4,8.174816876,50765
78,206373,7.4,8.938669303,43073
79,92697,7,7.535303192,45310
80,53470,4.2,4.419300542,67382
81,28576,7.5,6.785414334,48060
82,13234,12,11.190872,40680
83,219916,6.1,2.94339657,74379
84,61351,6.8,9.369040439,43509
85,115371,4.8,6.64898458,50383
86,37386,7.1,7.561654095,42492
87,128885,7.2,9.728828025,53577
88,22467,6.6,6.28032225,47555
